vehicle_id,bus_stop_name,direction,expected_arrival,timestamp,arrived
15457_490005528X_2020-02-17_0,The Design Museum,1,2020-02-17 23:12:59,2020-02-17 23:12:34,True
14468_490007705F_2020-02-17_0,Hammersmith Bus Station,0,2020-02-17 23:14:09,2020-02-17 23:14:11,True
15457_490010984T_2020-02-17_0,Phillimore Gardens,1,2020-02-17 23:13:28,2020-02-17 23:13:29,True
15446_490013766H_2020-02-17_0,Charing Cross Station,0,2020-02-17 23:13:22,2020-02-17 23:13:31,True
15457_490000110B_2020-02-17_0,High Street Kensington Station,1,2020-02-17 23:14:35,2020-02-17 23:14:52,True
14462_490000110B_2020-02-17_0,High Street Kensington Station,0,2020-02-17 23:12:30,2020-02-17 23:12:26,True
14876_490000119M_2020-02-17_0,Hyde Park Corner Station,0,2020-02-17 23:12:01,2020-02-17 23:11:07,True
14462_490010984T_2020-02-17_0,Phillimore Gardens,0,2020-02-17 23:13:41,2020-02-17 23:13:29,True
14462_490005528X_2020-02-17_0,The Design Museum,0,2020-02-17 23:14:47,2020-02-17 23:14:53,True
15446_490013767B_2020-02-17_0,Trafalgar Square,0,2020-02-17 23:15:58,2020-02-17 23:15:35,True
14530_490000093PB_2020-02-17_0,Green Park Station,1,2020-02-17 23:07:23,2020-02-17 23:07:24,True
15055_490000110B_2020-02-17_0,High Street Kensington Station,1,2020-02-17 23:03:47,2020-02-17 23:04:05,True
14530_490000110B_2020-02-17_0,High Street Kensington Station,1,2020-02-17 22:54:47,2020-02-17 22:54:52,True
15055_490000119M_2020-02-17_0,Hyde Park Corner Station,1,2020-02-17 23:13:40,2020-02-17 23:12:27,True
14530_490000119M_2020-02-17_0,Hyde Park Corner Station,1,2020-02-17 23:03:50,2020-02-17 23:04:06,True
